task,repeat,row_type,phase,architecture,parameter_count,best_val,best_epoch,final_epoch,test_loss,test_acc
classification,1,ablation_stl,stl_ablation_r01_d03_w0010_10_10_10,"[10, 10, 10]",907,0.5295293212841776,130,140,0.5239011092357583,0.7765959277809332
classification,2,ablation_stl,stl_ablation_r02_d03_w0010_10_10_10,"[10, 10, 10]",907,0.5315678780951829,166,176,0.5254440210763871,0.7792636959776941
classification,3,ablation_stl,stl_ablation_r03_d03_w0010_10_10_10,"[10, 10, 10]",907,0.5404010473152268,125,135,0.5344458869924579,0.7737044112837989
classification,4,ablation_stl,stl_ablation_r04_d03_w0010_10_10_10,"[10, 10, 10]",907,0.5312940408123933,132,142,0.5252863247750214,0.780657820003098
classification,5,ablation_stl,stl_ablation_r05_d03_w0010_10_10_10,"[10, 10, 10]",907,0.521432738760983,167,177,0.5179102745590184,0.7841861585859108
classification,1,ablation_stl,stl_ablation_r01_d03_w0011_11_11_11,"[11, 11, 11]",1019,0.5168278855941264,169,179,0.5122112553010219,0.7811569508270081
classification,2,ablation_stl,stl_ablation_r02_d03_w0011_11_11_11,"[11, 11, 11]",1019,0.5020665666622721,208,218,0.5007104786467699,0.7903650539577632
classification,3,ablation_stl,stl_ablation_r03_d03_w0011_11_11_11,"[11, 11, 11]",1019,0.5249755206373755,122,132,0.5185628967341293,0.7795218670935096
classification,4,ablation_stl,stl_ablation_r04_d03_w0011_11_11_11,"[11, 11, 11]",1019,0.5128059714036961,185,195,0.5086370659716554,0.7875940173146762
classification,5,ablation_stl,stl_ablation_r05_d03_w0011_11_11_11,"[11, 11, 11]",1019,0.5088357799755017,221,231,0.5069181496722651,0.7894012151253851
classification,1,ablation_stl,stl_ablation_r01_d03_w0019_19_19_19,"[19, 19, 19]",2059,0.42174601020130736,194,204,0.42248110666047034,0.8237035507134128
classification,2,ablation_stl,stl_ablation_r02_d03_w0019_19_19_19,"[19, 19, 19]",2059,0.4270030955986522,195,205,0.4253155146046712,0.8219996213490302
classification,3,ablation_stl,stl_ablation_r03_d03_w0019_19_19_19,"[19, 19, 19]",2059,0.418093334547027,198,208,0.41406185810441737,0.8259582451248688
classification,4,ablation_stl,stl_ablation_r04_d03_w0019_19_19_19,"[19, 19, 19]",2059,0.418457452371111,135,145,0.41538039139436506,0.8294177380767973
classification,5,ablation_stl,stl_ablation_r05_d03_w0019_19_19_19,"[19, 19, 19]",2059,0.4463270531578057,120,130,0.44370762516558865,0.8150290012220099
classification,1,ablation_stl,stl_ablation_r01_d03_w0025_25_25_25,"[25, 25, 25]",3007,0.38443090956827974,125,135,0.387770650662813,0.8415862033355708
classification,2,ablation_stl,stl_ablation_r02_d03_w0025_25_25_25,"[25, 25, 25]",3007,0.3860286747460743,141,151,0.38751007156951406,0.8392970861086728
classification,3,ablation_stl,stl_ablation_r03_d03_w0025_25_25_25,"[25, 25, 25]",3007,0.3959077586554383,173,183,0.3996207815273598,0.8353900965559973
classification,4,ablation_stl,stl_ablation_r04_d03_w0025_25_25_25,"[25, 25, 25]",3007,0.38614319142629533,138,148,0.3914547738147741,0.8416550489664549
classification,5,ablation_stl,stl_ablation_r05_d03_w0025_25_25_25,"[25, 25, 25]",3007,0.38562359002826074,125,135,0.3842645762962876,0.84306638439958
classification,1,ablation_stl,stl_ablation_r01_d03_w0030_30_30_30,"[30, 30, 30]",3907,0.35866618746570483,175,185,0.35880759591845024,0.8536858229634602
classification,2,ablation_stl,stl_ablation_r02_d03_w0030_30_30_30,"[30, 30, 30]",3907,0.3544913155831777,147,157,0.3585204685110432,0.8547357188344434
classification,3,ablation_stl,stl_ablation_r03_d03_w0030_30_30_30,"[30, 30, 30]",3907,0.3552455903946193,153,163,0.3592211963817467,0.853616977332576
classification,4,ablation_stl,stl_ablation_r04_d03_w0030_30_30_30,"[30, 30, 30]",3907,0.35402756991104256,135,145,0.35819730101683284,0.8527047727233611
classification,5,ablation_stl,stl_ablation_r05_d03_w0030_30_30_30,"[30, 30, 30]",3907,0.355791310652942,130,140,0.3569972728586667,0.8536686115557391
classification,1,ablation_stl,stl_ablation_r01_d03_w0035_35_35_35,"[35, 35, 35]",4907,0.35346591755460804,108,118,0.3515687802758505,0.854993889950259
classification,2,ablation_stl,stl_ablation_r02_d03_w0035_35_35_35,"[35, 35, 35]",4907,0.34848772678505985,110,120,0.35549753478705104,0.8554758093664481
classification,3,ablation_stl,stl_ablation_r03_d03_w0035_35_35_35,"[35, 35, 35]",4907,0.32687031549975804,198,208,0.34289702460559884,0.8575411782929726
classification,4,ablation_stl,stl_ablation_r04_d03_w0035_35_35_35,"[35, 35, 35]",4907,0.3701699145237133,83,93,0.36617197080728786,0.848109326861844
classification,5,ablation_stl,stl_ablation_r05_d03_w0035_35_35_35,"[35, 35, 35]",4907,0.3241407447270716,134,144,0.32836644546681676,0.8660608251148861
classification,1,ablation_stl,stl_ablation_r01_d03_w0040_40_40_40,"[40, 40, 40]",6007,0.3147046136355655,125,135,0.31805027092580934,0.871052133353987
classification,2,ablation_stl,stl_ablation_r02_d03_w0040_40_40_40,"[40, 40, 40]",6007,0.32536032045885316,120,130,0.3238400807684501,0.8684876336035524
classification,3,ablation_stl,stl_ablation_r03_d03_w0040_40_40_40,"[40, 40, 40]",6007,0.3230709150166555,109,119,0.3374944003616741,0.8613276879916009
classification,4,ablation_stl,stl_ablation_r04_d03_w0040_40_40_40,"[40, 40, 40]",6007,0.3322550503776249,105,115,0.33439634464519186,0.8626873892015628
classification,5,ablation_stl,stl_ablation_r05_d03_w0040_40_40_40,"[40, 40, 40]",6007,0.3270368421059878,109,119,0.33928799312983965,0.8596926042581022
classification,1,ablation_stl,stl_ablation_r01_d03_w0044_44_44_44,"[44, 44, 44]",6959,0.2924968489739709,152,162,0.30957481293843986,0.8753205624688043
classification,2,ablation_stl,stl_ablation_r02_d03_w0044_44_44_44,"[44, 44, 44]",6959,0.31016034336583004,152,162,0.3115842930236636,0.8742190323746579
classification,3,ablation_stl,stl_ablation_r03_d03_w0044_44_44_44,"[44, 44, 44]",6959,0.29462516262281746,116,126,0.29559155368728607,0.8791931292060378
classification,4,ablation_stl,stl_ablation_r04_d03_w0044_44_44_44,"[44, 44, 44]",6959,0.3067065121349875,112,122,0.30815419061518656,0.8730658680573484
classification,5,ablation_stl,stl_ablation_r05_d03_w0044_44_44_44,"[44, 44, 44]",6959,0.29606591872076504,128,138,0.3190498724322059,0.8669386069086591
classification,1,ablation_stl,stl_ablation_r01_d03_w0048_48_48_48,"[48, 48, 48]",7975,0.30761484553326807,119,129,0.3237603395021638,0.8692449355432781
classification,2,ablation_stl,stl_ablation_r02_d03_w0048_48_48_48,"[48, 48, 48]",7975,0.29399912296362285,118,128,0.2984865101436804,0.8799676425534845
classification,3,ablation_stl,stl_ablation_r03_d03_w0048_48_48_48,"[48, 48, 48]",7975,0.29379042800089444,136,146,0.31052715643888756,0.8726183714566015
classification,4,ablation_stl,stl_ablation_r04_d03_w0048_48_48_48,"[48, 48, 48]",7975,0.2986160029056132,139,149,0.32090905105907,0.864184781673293
classification,5,ablation_stl,stl_ablation_r05_d03_w0048_48_48_48,"[48, 48, 48]",7975,0.2814258149469521,157,167,0.293746294323806,0.8826526221579662
classification,1,ablation_stl,stl_ablation_r01_d03_w0052_52_52_52,"[52, 52, 52]",9055,0.3167983071035375,98,108,0.3290370817416379,0.8661985163766545
classification,2,ablation_stl,stl_ablation_r02_d03_w0052_52_52_52,"[52, 52, 52]",9055,0.3135868928533657,78,88,0.3371429016736983,0.8598819297430337
classification,3,ablation_stl,stl_ablation_r03_d03_w0052_52_52_52,"[52, 52, 52]",9055,0.2994362554700606,109,119,0.31204648543267144,0.8712586702466395
classification,4,ablation_stl,stl_ablation_r04_d03_w0052_52_52_52,"[52, 52, 52]",9055,0.30031032367625937,90,100,0.3196651836277353,0.8676959088483847
classification,5,ablation_stl,stl_ablation_r05_d03_w0052_52_52_52,"[52, 52, 52]",9055,0.302050930285002,89,99,0.3195036327321239,0.8700366602984458
classification,1,ablation_stl,stl_ablation_r01_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.26632743793494834,122,132,0.2876274802374312,0.8826698335656873
classification,2,ablation_stl,stl_ablation_r02_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.2973401158157104,108,118,0.3167104992809518,0.8683843651572262
classification,3,ablation_stl,stl_ablation_r03_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.29232718061174684,118,128,0.30182527223800154,0.8772998743567236
classification,4,ablation_stl,stl_ablation_r04_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.28173210931475506,125,135,0.3050598532935514,0.8723602003407859
classification,5,ablation_stl,stl_ablation_r05_d03_w0055_55_55_55,"[55, 55, 55]",9907,0.2836779113838741,95,105,0.30429918262550676,0.8760262301853668
