root_path,source,status,markers,total_files,json_files,csv_files,txt_files,png_files,pt_files
MLPS/tabular/shared/dae_dnn/results/archive/classification_trial1,results,complete,run_metadata.json;final_report.json,5,2,1,0,1,0
MLPS/tabular/shared/dae_dnn/results/archive/goliath_w2d_anomaly_onward_gpu,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,8290,4151,2071,2055,13,0
MLPS/tabular/shared/dae_dnn/results/archive/goliath_w2d_staged_current,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,47511,23781,11866,11833,30,0
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d1,results,complete,run_metadata.json;final_report.json;training_log.txt,6,4,0,1,0,0
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d2,results,complete,run_metadata.json;final_report.json;training_log.txt,6,4,0,1,0,0
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d3,results,complete,run_metadata.json;final_report.json;training_log.txt,6,4,0,1,0,0
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d4,results,complete,run_metadata.json;final_report.json;training_log.txt,6,4,0,1,0,0
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d5,results,complete,run_metadata.json;final_report.json;training_log.txt,1743,873,435,432,2,0
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/autoencoding_d6,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,3316,1659,829,825,2,0
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d1,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,434,149,74,70,2,138
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d2,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,836,283,141,137,2,272
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d3,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1436,483,241,237,2,472
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d4,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1904,639,319,315,2,628
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d5,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2524,1187,593,589,2,152
MLPS/tabular/shared/dae_dnn/results/goliath_active_suite_width_only_gpu/generation_d6,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2804,1299,649,645,2,208
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/prediction/repeat_01/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,23,9,4,3,0,4
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/prediction/repeat_02/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,21,9,4,3,0,4
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/prediction/repeat_03/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,14,7,2,2,0,2
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/prediction/repeat_04/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,14,7,2,2,0,2
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/prediction/repeat_05/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,14,7,2,2,0,2
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_02/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,14,7,2,2,0,2
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_03/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,14,7,2,2,0,2
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_04/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,14,7,2,2,0,2
MLPS/tabular/shared/dae_dnn/results/recovery/missing_width_stl_v1/width_only/simulation/repeat_05/d01,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,14,7,2,2,0,2
MLPS/tabular/shared/dae_dnn/results/stl/ablation/parammatched_decade_v1_param_10pow01_03,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,6946,3472,1391,702,1374,0
MLPS/tabular/shared/dae_dnn/results/stl/parallelism_probe/parammatched_decade_v1_param_10pow01_03,results,in_progress,run_metadata.json;training_log.txt;training_stats.csv,506,249,115,61,81,0
MLPS/tabular/shared/dae_dnn/results/stl/small_grid/analysis/simulation_prediction_v1,results,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,5,2,1,1,0,0
experiments/2026-06-10_laptop3_denoising,experiments,unknown,run_metadata.json,31953,15985,7987,7958,13,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d1,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,288,145,72,68,2,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d10,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,4997,2499,1249,1248,0,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d2,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,788,395,197,193,2,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d3,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1520,761,380,376,2,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d4,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2108,1055,527,523,2,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d5,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,3428,1715,857,853,2,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d6,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,3628,1815,907,903,2,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d7,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,5005,2503,1251,1250,0,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d8,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,5085,2543,1271,1270,0,0
experiments/2026-06-10_laptop3_denoising/results/goliath_active_suite_width_only_gpu/denoising_d9,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,5101,2551,1275,1274,0,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation,experiments,unknown,run_metadata.json,27105,13563,6775,6698,48,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/anomaly_d1,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,520,261,130,126,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/anomaly_d2,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,796,399,199,195,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/anomaly_d3,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1228,615,307,303,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/anomaly_d4,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1772,887,443,439,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/anomaly_d5,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2468,1235,617,613,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/anomaly_d6,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2312,1157,578,574,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/representation_d1,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1632,816,408,403,4,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/representation_d2,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2296,1148,574,569,4,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/representation_d3,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1988,994,497,492,4,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/representation_d4,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2416,1208,604,599,4,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/representation_d5,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2352,1176,588,583,4,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/representation_d6,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,2676,1338,669,664,4,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/simulation_d1,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,108,55,27,23,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/simulation_d2,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,620,311,155,151,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/simulation_d3,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,808,405,202,198,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/simulation_d4,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1052,527,263,259,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/simulation_d5,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,1068,535,267,263,2,0
experiments/2026-06-14_laptop3_representation_anomaly_simulation/results/goliath_active_suite_width_only_gpu/simulation_d6,experiments,complete,run_metadata.json;final_report.json;training_log.txt;training_stats.csv,988,495,247,243,2,0
